Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
fedora,,,,,,,,Dark Gray,,,,,35307589-dark-gray,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375851.jpg?v=1586080099,12,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375852.jpg?v=1586080100,lb,,
fedora,,,,,,,,Gray,,,,,35307589-gray,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375859.jpg?v=1586080100,13,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375851.jpg?v=1586080099,lb,,
fedora,,,,,,,,Dark Blue,,,,,35307589-dark-blue,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375853.jpg?v=1586080100,14,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375860.jpg?v=1586080099,lb,,
fedora,,,,,,,,Orange Red,,,,,35307589-orange-red,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375852.jpg?v=1586080100,15,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375859.jpg?v=1586080100,lb,,
fedora,,,,,,,,Rose Red,,,,,35307589-rose-red,0.0,shopify,deny,oberlo,16.98,16.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375862.jpg?v=1586080101,16,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375862.jpg?v=1586080101,lb,,
fedora,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375856.jpg?v=1586080114,17,,,,,,,,,,,,,,,,,,,,,
skull-cap-beanie,Skull Cap Beanie,Polyester skull cap in 5 different styles. Guaranteed to keep you looking stylish in any weather.,johnvincentio,Hipster hat,Hipster,true,Color,Black,,,,,33871285-as-picture-4,0.0,shopify,deny,oberlo,5.62,5.62,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584956.jpg?v=1586080092,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584965.jpg?v=1586080093,lb,,
skull-cap-beanie,,,,,,,,Navy,,,,,33871285-as-picture-3,0.0,shopify,deny,oberlo,5.62,5.62,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584962.jpg?v=1586080092,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584964.jpg?v=1586080093,lb,,
skull-cap-beanie,,,,,,,,Burgundy,,,,,33871285-as-picture,0.0,shopify,deny,oberlo,5.62,5.62,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584963.jpg?v=1586080093,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584962.jpg?v=1586080092,lb,,
skull-cap-beanie,,,,,,,,Light gray,,,,,33871285-as-picture-5,0.0,shopify,deny,oberlo,5.62,5.62,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584965.jpg?v=1586080093,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584966.jpg?v=1586080094,lb,,
skull-cap-beanie,,,,,,,,Dark gray,,,,,33871285-as-picture-2,0.0,shopify,deny,oberlo,5.62,5.62,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584964.jpg?v=1586080093,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584963.jpg?v=1586080093,lb,,
skull-cap-beanie,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1256584966.jpg?v=1586080094,6,,,,,,,,,,,,,,,,,,,,,
vintage-geometric,Vintage Geometric,Various patterned geometric styles beanie from Lovingsha.,johnvincentio,Hipster hat,Hipster,true,Color,White,,,,,1665506-black-china,0.0,shopify,deny,oberlo,5.98,5.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-243586967.jpg?v=1586080092,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-243586973.jpg?v=1586080094,lb,,
vintage-geometric,,,,,,,,Green,,,,,1665506-green-china,0.0,shopify,deny,oberlo,5.98,5.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-243586974.jpg?v=1586080093,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-243586974.jpg?v=1586080093,lb,,
vintage-geometric,,,,,,,,Black,,,,,1665506-black2-china,0.0,shopify,deny,oberlo,5.98,5.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-243586976.jpg?v=1586080094,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-243586975.jpg?v=1586080094,lb,,
vintage-geometric,,,,,,,,Red,,,,,1665506-red-china,0.0,shopify,deny,oberlo,5.98,5.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-243586973.jpg?v=1586080094,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-243586976.jpg?v=1586080094,lb,,
vintage-geometric,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-243586975.jpg?v=1586080094,5,,,,,,,,,,,,,,,,,,,,,
drew-house-beanie,Drew house beanie,"Casual ""hipster"" drew house beanie. Comes in 2 colours!",johnvincentio,Winter hat,"Hipster, Winter",true,Title,Default Title,,,,,33637132-black,0.0,shopify,deny,oberlo,6.88,6.88,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1250882130.jpg?v=1590627204,1,,false,,,,,,,,,,,,,,,,,lb,,
drew-house-beanie,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1250882144.jpg?v=1590627204,2,,,,,,,,,,,,,,,,,,,,,
sun-hat,Sun hat,Maershei sun hat with 6 different colours to choose from. Stay stylish this summer while keeping your face protected from the sun's rays.,johnvincentio,Summer hat,Summer,true,Color,White,,,,,33600085-white,0.0,shopify,deny,oberlo,13.90,13.90,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1249959643.jpg?v=1586080092,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1249959649.jpg?v=1586080094,lb,,
sun-hat,,,,,,,,Black,,,,,33600085-black,0.0,shopify,deny,oberlo,13.90,13.90,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1249959653.jpg?v=1586080093,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1249959650.jpg?v=1586080094,lb,,
sun-hat,,,,,,,,Gray,,,,,33600085-gray,0.0,shopify,deny,oberlo,13.90,13.90,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1249959651.jpg?v=1586080094,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1249959651.jpg?v=1586080094,lb,,
sun-hat,,,,,,,,Navy,,,,,33600085-navy,0.0,shopify,deny,oberlo,13.90,13.90,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1249959650.jpg?v=1586080094,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1249959652.jpg?v=1586080094,lb,,
sun-hat,,,,,,,,Pink,,,,,33600085-pink,0.0,shopify,deny,oberlo,13.90,13.90,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1249959649.jpg?v=1586080094,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1249959654.jpg?v=1586080095,lb,,
sun-hat,,,,,,,,Yellow,,,,,33600085-yellow,0.0,shopify,deny,oberlo,13.90,13.90,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1249959652.jpg?v=1586080094,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1249959653.jpg?v=1586080093,lb,,
sun-hat,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1249959654.jpg?v=1586080095,7,,,,,,,,,,,,,,,,,,,,,
pvc-sunshade-hat,PVC Sunshade Hat,Protect yourself in the sun with this PVC sun hat. Ideal to protect your eyes from the sun's glare.,johnvincentio,Summer hat,Summer,true,Color,Frosted white,,,,,35307588-frosted-white,0.0,shopify,deny,oberlo,3.52,3.52,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375631.jpg?v=1586080093,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375640.jpg?v=1586080095,lb,,
pvc-sunshade-hat,,,,,,,,Yellow,,,,,35307588-yellow,0.0,shopify,deny,oberlo,3.52,3.52,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375644.jpg?v=1586080094,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375643.jpg?v=1586080096,lb,,
pvc-sunshade-hat,,,,,,,,White,,,,,35307588-white,0.0,shopify,deny,oberlo,3.52,3.52,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375639.jpg?v=1586080094,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375637.jpg?v=1586080094,lb,,
pvc-sunshade-hat,,,,,,,,Red,,,,,35307588-red,0.0,shopify,deny,oberlo,3.52,3.52,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375637.jpg?v=1586080094,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375641.jpg?v=1586080095,lb,,
pvc-sunshade-hat,,,,,,,,Purple,,,,,35307588-purple,0.0,shopify,deny,oberlo,3.52,3.52,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375645.jpg?v=1586080095,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375645.jpg?v=1586080095,lb,,
pvc-sunshade-hat,,,,,,,,Pink,,,,,35307588-pink,0.0,shopify,deny,oberlo,3.52,3.52,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375641.jpg?v=1586080095,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375644.jpg?v=1586080094,lb,,
pvc-sunshade-hat,,,,,,,,Orange,,,,,35307588-orange,0.0,shopify,deny,oberlo,3.52,3.52,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375640.jpg?v=1586080095,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375646.jpg?v=1586080097,lb,,
pvc-sunshade-hat,,,,,,,,Green,,,,,35307588-green,0.0,shopify,deny,oberlo,3.52,3.52,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375643.jpg?v=1586080096,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375639.jpg?v=1586080094,lb,,
pvc-sunshade-hat,,,,,,,,Blue,,,,,35307588-blue,0.0,shopify,deny,oberlo,3.52,3.52,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375638.jpg?v=1586080096,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375642.jpg?v=1586080097,lb,,
pvc-sunshade-hat,,,,,,,,Black,,,,,35307588-black,0.0,shopify,deny,oberlo,3.52,3.52,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375642.jpg?v=1586080097,10,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375638.jpg?v=1586080096,lb,,
pvc-sunshade-hat,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1341375646.jpg?v=1586080097,11,,,,,,,,,,,,,,,,,,,,,
unisex-jazz-hat,Unisex Jazz Hat,<p>The perfect accessory for nights out. Check out this unisex jazz hat available in a variety of colours for all head shapes and sizes.</p>,johnvincentio,Hipster hat,Hipster,true,Color,Dark Gray,,,,,34231989-dark-gray-china,0.0,shopify,deny,oberlo,2.00,4.84,true,false,"",https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1270040819.jpg?v=1586080093,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190190.jpg?v=1586080094,lb,,
unisex-jazz-hat,,,,,,,,Coffee,,,,,34231989-coffee-china,0.0,shopify,deny,oberlo,2.00,4.84,true,false,"",https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190193.jpg?v=1586080093,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1319190189.jpg?v=1586080095,lb,,
